id_pelicula_genero,pid,genero
0,74,Comedia
1,6,Ciencia ficción apocalíptica
2,27,Drama
3,41,Acción
4,45,Fantasía
5,42,Fantasía
6,30,Aventura
7,98,Comedia
8,79,Comedia
9,32,Drama
10,52,Familiar
11,51,Comedia
12,93,Acción
13,12,Animación
14,46,Comedia
15,90,Comedia
16,51,Romance
17,60,Romance
18,23,Animación
19,7,Drama
20,47,Acción
21,40,Comedia
22,99,Biografía
23,85,Fantasía
24,10,Misterio
25,83,Thriller
26,65,Comedia
27,40,Crimen
28,59,Misterio
29,31,Acción
30,21,Drama
31,15,Histórico
32,5,Horror
33,74,Animación
34,4,Drama
35,6,Drama
36,56,Drama
37,19,Drama
38,87,Drama
39,86,Crimen
40,83,Drama
41,89,Comedia
42,66,Thriller
43,78,Acción
44,45,Drama
45,36,Horror
46,61,Romance
47,82,Horror
48,87,Comedia
49,20,Animación
50,14,Drama
51,2,Comedia
52,87,Romance
53,71,Comedia
54,20,Comedia
55,44,Misterio
56,22,Drama
57,77,Comedia
58,8,Ciencia ficción
59,61,Comedia
60,100,Drama
61,95,Thriller
62,29,Crimen
63,48,Drama
64,81,Thriller
65,60,Comedia
66,22,Romance
67,46,Aventura
68,92,Comedia
69,13,Romance Planetario
70,72,Fantasía
71,41,Thriller
72,54,Thriller
73,38,Comedia
74,6,Thriller
75,66,Acción
76,91,Comedia
77,12,Aventura
78,29,Acción
79,67,Drama
80,79,Aventura
81,50,Aventura
82,26,Horror
83,1,Biografía
84,28,Drama
85,56,Romance
86,37,Drama
87,54,Crimen
88,55,Horror
89,15,Drama
90,93,Crimen
91,73,Guerra
92,8,Cyberpunk
93,69,Crimen
94,46,Acción
95,7,Acción
96,79,Acción
97,58,Familiar
98,82,Comedia
99,84,Drama
100,80,Drama
101,25,Horror
102,12,Comedia
103,31,Crimen
104,99,Acción
105,40,Acción
106,80,Música
107,27,Biografía
108,3,Drama
109,59,Horror
110,91,Drama
111,21,Comedia
112,17,Comedia
113,42,Aventura
114,72,Drama
115,35,Thriller
116,58,Drama
117,11,Comedia
118,30,Ciencia ficción
119,68,Romance
120,57,Acción
121,53,Drama
122,24,Drama
123,91,Romance
124,1,Comedia
125,74,Aventura
126,29,Thriller
127,42,Acción
128,68,Drama
129,84,Biografía
130,52,Deporte
131,86,Biografía
132,36,Thriller
133,6,Ciencia ficción
134,13,Ciencia ficción
135,70,Biografía
136,65,Romance
137,86,Drama
138,85,Aventura
139,14,Cyberpunk
140,62,Comedia
141,16,Crimen
142,61,Drama
143,30,Acción
144,49,Romance
145,48,Misterio
146,101,Slasher
147,96,Comedia
148,85,Acción
149,48,Cyberpunk
150,97,Drama
151,73,Drama
152,64,Horror
153,94,Fantasía oscura
154,64,Misterio
155,72,Horror
156,23,Aventura
157,43,Acción
158,34,Horror
159,1,Drama
160,58,Comedia
161,95,Horror
162,60,Drama
163,83,Crimen
164,62,Drama
165,77,Romance
166,59,Drama
167,11,Drama
168,67,Horror
169,92,Romance
170,50,Acción
171,30,Biopunk
172,9,Comedia
173,44,Aventura
174,18,Drama
175,56,Comedia
176,33,Drama
177,4,Thriller
178,50,Animación
179,4,Thriller sicológico
180,80,Biografía
181,53,Histórico
182,88,Comedia
183,47,Fantasía
184,100,Comedia
185,57,Comedia
186,96,Acción
187,10,Drama
188,55,Thriller
189,7,Crimen
190,99,Crimen
191,49,Comedia
192,9,Familiar
193,90,Romance
194,76,Biografía
195,76,Drama
196,101,Horror
197,19,Comedia
198,39,Drama
199,57,Crimen
200,95,Acción
201,38,Drama
202,69,Drama
203,63,Animación
204,70,Crimen
205,14,Misterio
206,8,Acción
207,47,Aventura
208,51,Drama
209,16,Comedia
210,53,Acción
211,84,Comedia
212,78,Thriller
213,63,Fantasía
214,93,Drama
215,13,Acción
216,23,Comedia
217,20,Aventura
218,6,Cyberpunk
219,8,Aventura
220,75,Comedia
221,70,Comedia
222,94,Thriller
223,3,Comedia
224,48,Ciencia ficción
225,67,Acción
226,96,Aventura
227,44,Drama
228,31,Thriller
229,15,Biografía
230,13,Aventura
231,35,Misterio
232,63,Familiar
233,21,Romance
234,10,Crimen
235,4,Misterio
236,27,Deporte
237,11,Romance
238,19,Música
239,16,Acción
240,43,Thriller
241,14,Ciencia ficción
242,71,Drama
