pid;sid;cid;titulo;duracion;clasificacion;puntuacion;año;numero;serie;genero
1;;;Return to Babylon;75;G;7.1;2013;;;Drama
1;;;Return to Babylon;75;G;7.1;2013;;;Comedia
1;;;Return to Babylon;75;G;7.1;2013;;;Biografía
2;;;Life's a Beach;100;PG-13;9;2012;;;Comedia
3;;;'77;113;G;2.1;2017;;;Drama
3;;;'77;113;G;2.1;2017;;;Comedia
4;;;In My Sleep;104;PG;1.6;2010;;;Thriller sicológico
4;;;In My Sleep;104;PG;1.6;2010;;;Thriller
4;;;In My Sleep;104;PG;1.6;2010;;;Misterio
4;;;In My Sleep;104;PG;1.6;2010;;;Drama
5;;;The Evil Within;98;PG-13;4.6;2017;;;Horror
6;;;Fahrenheit 451;100;G;3;2018;;;Thriller
6;;;Fahrenheit 451;100;G;3;2018;;;Drama
6;;;Fahrenheit 451;100;G;3;2018;;;Cyberpunk
6;;;Fahrenheit 451;100;G;3;2018;;;Ciencia ficción apocalíptica
6;;;Fahrenheit 451;100;G;3;2018;;;Ciencia ficción
7;;;A Walk Among the Tombstones;114;G;2.7;2014;;;Drama
7;;;A Walk Among the Tombstones;114;G;2.7;2014;;;Crimen
7;;;A Walk Among the Tombstones;114;G;2.7;2014;;;Acción
8;;;Jurassic World;124;G;7.8;2015;;;Cyberpunk
8;;;Jurassic World;124;G;7.8;2015;;;Ciencia ficción
8;;;Jurassic World;124;G;7.8;2015;;;Aventura
8;;;Jurassic World;124;G;7.8;2015;;;Acción
9;;;The Three Stooges;92;PG-13;2.1;2012;;;Familiar
9;;;The Three Stooges;92;PG-13;2.1;2012;;;Comedia
10;;;Motherless Brooklyn;144;PG-13;9.7;2019;;;Misterio
10;;;Motherless Brooklyn;144;PG-13;9.7;2019;;;Drama
10;;;Motherless Brooklyn;144;PG-13;9.7;2019;;;Crimen
11;;;Anderson's Cross;98;PG;4.2;2010;;;Romance
11;;;Anderson's Cross;98;PG;4.2;2010;;;Drama
11;;;Anderson's Cross;98;PG;4.2;2010;;;Comedia
12;;;Tangled;100;PG;7.9;2010;;;Comedia
12;;;Tangled;100;PG;7.9;2010;;;Aventura
12;;;Tangled;100;PG;7.9;2010;;;Animación
13;;;John Carter;132;NC-17;5.4;2012;;;Romance Planetario
13;;;John Carter;132;NC-17;5.4;2012;;;Ciencia ficción
13;;;John Carter;132;NC-17;5.4;2012;;;Aventura
13;;;John Carter;132;NC-17;5.4;2012;;;Acción
14;;;Disconnect;112;PG-13;2.1;2010;;;Misterio
14;;;Disconnect;112;PG-13;2.1;2010;;;Drama
14;;;Disconnect;112;PG-13;2.1;2010;;;Cyberpunk
14;;;Disconnect;112;PG-13;2.1;2010;;;Ciencia ficción
15;;;The Stanford Prison Experiment;122;PG-13;1.2;2015;;;Histórico
15;;;The Stanford Prison Experiment;122;PG-13;1.2;2015;;;Drama
15;;;The Stanford Prison Experiment;122;PG-13;1.2;2015;;;Biografía
16;;;Venus & Vegas;95;PG-13;7.8;2010;;;Crimen
16;;;Venus & Vegas;95;PG-13;7.8;2010;;;Comedia
16;;;Venus & Vegas;95;PG-13;7.8;2010;;;Acción
17;;;Dinner for Schmucks;114;G;5.1;2010;;;Comedia
18;;;A Million Little Pieces;113;PG-13;4.3;2018;;;Drama
19;;;Satin;84;PG-13;5.8;2011;;;Música
19;;;Satin;84;PG-13;5.8;2011;;;Drama
19;;;Satin;84;PG-13;5.8;2011;;;Comedia
20;;;Toy Story 3;103;G;1.1;2010;;;Comedia
20;;;Toy Story 3;103;G;1.1;2010;;;Aventura
20;;;Toy Story 3;103;G;1.1;2010;;;Animación
21;;;Before We Go;95;PG-13;9.1;2014;;;Romance
21;;;Before We Go;95;PG-13;9.1;2014;;;Drama
21;;;Before We Go;95;PG-13;9.1;2014;;;Comedia
22;;;A Bird of the Air;108;PG-13;5.1;2011;;;Romance
22;;;A Bird of the Air;108;PG-13;5.1;2011;;;Drama
23;;;Puss in Boots;90;PG-13;4;2011;;;Comedia
23;;;Puss in Boots;90;PG-13;4;2011;;;Aventura
23;;;Puss in Boots;90;PG-13;4;2011;;;Animación
24;;;Mad World;98;PG;7;2010;;;Drama
25;;;The Passing;92;PG-13;2.2;2011;;;Horror
26;;;Sludge;95;G;1.7;2017;;;Horror
27;;;42;128;G;6.7;2013;;;Drama
27;;;42;128;G;6.7;2013;;;Deporte
27;;;42;128;G;6.7;2013;;;Biografía
28;;;Being Flynn;102;PG;9.9;2012;;;Drama
29;;;The Equalizer;132;PG;3.9;2014;;;Thriller
29;;;The Equalizer;132;PG;3.9;2014;;;Crimen
29;;;The Equalizer;132;PG;3.9;2014;;;Acción
30;;;Captain America: The First Avenger;124;PG;4.1;2011;;;Ciencia ficción
30;;;Captain America: The First Avenger;124;PG;4.1;2011;;;Biopunk
30;;;Captain America: The First Avenger;124;PG;4.1;2011;;;Aventura
30;;;Captain America: The First Avenger;124;PG;4.1;2011;;;Acción
31;;;Sin City: A Dame to Kill For;102;PG;9.1;2014;;;Thriller
31;;;Sin City: A Dame to Kill For;102;PG;9.1;2014;;;Crimen
31;;;Sin City: A Dame to Kill For;102;PG;9.1;2014;;;Acción
32;;;Drunkboat;98;PG;8.6;2010;;;Drama
33;;;The Only Living Boy in New York;89;PG;7;2017;;;Drama
34;;;Satan Hates You;94;NC-17;8.2;2010;;;Horror
35;;;The Devil You Know;76;G;2;2013;;;Thriller
35;;;The Devil You Know;76;G;2;2013;;;Misterio
36;;;House at the End of the Drive;91;G;1.1;2014;;;Thriller
36;;;House at the End of the Drive;91;G;1.1;2014;;;Horror
37;;;Margaret;150;PG-13;1.7;2011;;;Drama
38;;;Harlem Hostel;81;PG-13;3.7;2010;;;Drama
38;;;Harlem Hostel;81;PG-13;3.7;2010;;;Comedia
39;;;Smoking Nonsmoking;84;PG;3.2;2011;;;Drama
40;;;Tower Heist;104;PG-13;5.9;2011;;;Crimen
40;;;Tower Heist;104;PG-13;5.9;2011;;;Comedia
40;;;Tower Heist;104;PG-13;5.9;2011;;;Acción
41;;;The Mechanic;93;G;8.7;2011;;;Thriller
41;;;The Mechanic;93;G;8.7;2011;;;Acción
42;;;Prince of Persia: The Sands of Time;116;PG;2.4;2010;;;Fantasía
42;;;Prince of Persia: The Sands of Time;116;PG;2.4;2010;;;Aventura
42;;;Prince of Persia: The Sands of Time;116;PG;2.4;2010;;;Acción
43;;;Unstoppable;98;G;3.3;2010;;;Thriller
43;;;Unstoppable;98;G;3.3;2010;;;Acción
44;;;Extremely Loud & Incredibly Close;129;G;4.1;2011;;;Misterio
44;;;Extremely Loud & Incredibly Close;129;G;4.1;2011;;;Drama
44;;;Extremely Loud & Incredibly Close;129;G;4.1;2011;;;Aventura
45;;;The Tree of Life;139;PG-13;7.4;2011;;;Fantasía
45;;;The Tree of Life;139;PG-13;7.4;2011;;;Drama
46;;;Ant-Man;117;PG-13;7.4;2015;;;Comedia
46;;;Ant-Man;117;PG-13;7.4;2015;;;Aventura
46;;;Ant-Man;117;PG-13;7.4;2015;;;Acción
47;;;Season of the Witch;95;PG;2.6;2011;;;Fantasía
47;;;Season of the Witch;95;PG;2.6;2011;;;Aventura
47;;;Season of the Witch;95;PG;2.6;2011;;;Acción
48;;;Atlas Shrugged: Part I;97;G;3.3;2011;;;Misterio
48;;;Atlas Shrugged: Part I;97;G;3.3;2011;;;Drama
48;;;Atlas Shrugged: Part I;97;G;3.3;2011;;;Cyberpunk
48;;;Atlas Shrugged: Part I;97;G;3.3;2011;;;Ciencia ficción
49;;;Hall Pass;105;PG-13;3.7;2011;;;Romance
