uid;pid;cid;fecha
141;;85;05-06-2020
141;;34;05-21-2020
45;72;;05-30-2020
9;;137;05-31-2020
45;68;;05-31-2020
58;43;;06-03-2020
49;;99;06-08-2020
17;95;;06-11-2020
19;;98;06-12-2020
21;;107;06-16-2020
72;1;;06-18-2020
49;;112;06-18-2020
36;;110;06-20-2020
123;;104;06-22-2020
9;;135;06-24-2020
19;32;;06-25-2020
57;;91;06-25-2020
22;72;;06-26-2020
92;;153;06-29-2020
115;37;;06-30-2020
20;86;;07-01-2020
19;70;;07-01-2020
57;;108;07-02-2020
21;;85;07-03-2020
146;5;;07-03-2020
41;;49;07-04-2020
115;62;;07-04-2020
57;;90;07-04-2020
2;;128;07-05-2020
92;;155;07-05-2020
17;48;;07-06-2020
141;5;;07-08-2020
115;99;;07-11-2020
146;;92;07-13-2020
19;8;;07-14-2020
57;;110;07-15-2020
19;;138;07-18-2020
115;;78;07-18-2020
146;;78;07-21-2020
92;;154;07-21-2020
21;;79;07-23-2020
33;;101;07-23-2020
45;99;;07-24-2020
115;;31;07-24-2020
44;;18;07-24-2020
46;;134;07-27-2020
60;96;;07-27-2020
60;20;;07-28-2020
46;;132;07-29-2020
19;;102;07-30-2020
57;;92;07-30-2020
45;;132;08-02-2020
17;;114;08-03-2020
16;;58;08-04-2020
4;48;;08-08-2020
4;81;;08-09-2020
119;;106;08-10-2020
26;;40;08-10-2020
16;;43;08-11-2020
36;;117;08-11-2020
19;82;;08-14-2020
36;60;;08-15-2020
146;;90;08-17-2020
141;;137;08-17-2020
142;;152;08-17-2020
142;;150;08-19-2020
63;;116;08-19-2020
141;;131;08-20-2020
142;;151;08-20-2020
72;54;;08-20-2020
119;;133;08-22-2020
17;;99;08-22-2020
26;;107;08-23-2020
115;96;;08-23-2020
36;;102;08-24-2020
21;45;;08-24-2020
21;;135;08-24-2020
4;83;;08-24-2020
19;35;;08-25-2020
28;45;;08-25-2020
50;;102;08-25-2020
6;;157;08-26-2020
58;;81;08-26-2020
76;90;;08-27-2020
37;;97;08-27-2020
4;54;;08-27-2020
75;;90;08-28-2020
59;13;;08-28-2020
72;5;;08-28-2020
45;48;;08-29-2020
4;23;;08-29-2020
77;;8;08-29-2020
41;100;;08-29-2020
21;66;;08-30-2020
3;50;;08-31-2020
141;;111;08-31-2020
19;48;;09-02-2020
90;64;;09-03-2020
1;;47;09-03-2020
123;74;;09-05-2020
55;100;;09-06-2020
75;;92;09-08-2020
75;;134;09-08-2020
46;;117;09-08-2020
4;39;;09-09-2020
16;;66;09-09-2020
134;21;;09-09-2020
26;65;;09-11-2020
51;64;;09-11-2020
46;;69;09-12-2020
115;37;;09-12-2020
90;;147;09-13-2020
50;78;;09-14-2020
19;42;;09-15-2020
72;;151;09-16-2020
23;;128;09-16-2020
70;;153;09-16-2020
59;;92;09-16-2020
2;93;;09-17-2020
38;;34;09-17-2020
1;;139;09-18-2020
25;;126;09-18-2020
2;;106;09-20-2020
17;65;;09-20-2020
19;65;;09-22-2020
17;39;;09-22-2020
22;;10;09-22-2020
51;;145;09-22-2020
45;;153;09-22-2020
49;;39;09-23-2020
33;100;;09-24-2020
6;62;;09-25-2020
45;37;;09-25-2020
56;60;;09-26-2020
14;;128;09-26-2020
26;;149;09-26-2020
134;42;;09-26-2020
36;;108;09-26-2020
45;;19;09-27-2020
47;95;;09-28-2020
21;;142;09-28-2020
87;;148;09-28-2020
17;83;;09-28-2020
45;38;;09-29-2020
19;8;;09-30-2020
123;62;;09-30-2020
19;;104;09-30-2020
146;;52;09-30-2020
19;;103;10-01-2020
15;37;;10-01-2020
49;;148;10-01-2020
22;;10;10-02-2020
141;;135;10-02-2020
49;;113;10-02-2020
26;;35;10-03-2020
141;;46;10-04-2020
19;70;;10-04-2020
134;64;;10-04-2020
1;;138;10-05-2020
22;;131;10-05-2020
19;64;;10-05-2020
115;;38;10-05-2020
31;;148;10-05-2020
21;13;;10-06-2020
1;;38;10-06-2020
105;;132;10-06-2020
17;;88;10-07-2020
44;2;;10-07-2020
17;17;;10-07-2020
16;;103;10-07-2020
54;;81;10-08-2020
6;;82;10-08-2020
31;;92;10-09-2020
36;95;;10-09-2020
41;;111;10-10-2020
134;75;;10-11-2020
87;;149;10-11-2020
16;;50;10-12-2020
35;;17;10-13-2020
115;42;;10-14-2020
17;;98;10-15-2020
82;;107;10-16-2020
87;;112;10-16-2020
47;;85;10-16-2020
76;;142;10-17-2020
87;;150;10-17-2020
92;;115;10-18-2020
35;23;;10-18-2020
36;;115;10-18-2020
72;82;;10-19-2020
63;;109;10-19-2020
77;42;;10-20-2020
18;;85;10-20-2020
133;;101;10-21-2020
52;95;;10-22-2020
38;;44;10-22-2020
90;94;;10-23-2020
21;;150;10-23-2020
60;66;;10-24-2020
141;;113;10-25-2020
1;;33;10-27-2020
3;;148;10-29-2020
2;;127;10-29-2020
45;;154;10-29-2020
60;17;;10-30-2020
1;;140;10-30-2020
31;;90;10-30-2020
60;60;;10-30-2020
47;48;;10-30-2020
31;;147;10-30-2020
6;78;;10-30-2020
21;97;;10-30-2020
90;54;;11-01-2020
6;13;;11-01-2020
51;;154;11-02-2020
18;;127;11-02-2020
24;;111;11-03-2020
141;31;;11-04-2020
16;;52;11-04-2020
77;;73;11-05-2020
92;;99;11-05-2020
146;;61;11-06-2020
11;;152;11-06-2020
52;;120;11-07-2020
59;;90;11-07-2020
77;54;;11-08-2020
130;51;;11-08-2020
72;36;;11-09-2020
45;79;;11-09-2020
26;;129;11-09-2020
60;1;;11-10-2020
18;;84;11-10-2020
37;;135;11-10-2020
21;;137;11-11-2020
62;;25;11-11-2020
72;;104;11-11-2020
141;;118;11-11-2020
37;;96;11-11-2020
40;;126;11-12-2020
18;;81;11-12-2020
16;;102;11-13-2020
90;;108;11-13-2020
31;31;;11-13-2020
106;;148;11-14-2020
17;;101;11-14-2020
74;53;;11-15-2020
130;88;;11-15-2020
38;;141;11-16-2020
48;38;;11-16-2020
16;;31;11-17-2020
17;;97;11-18-2020
48;65;;11-19-2020
87;;151;11-19-2020
92;;101;11-19-2020
24;;124;11-19-2020
123;74;;11-19-2020
31;;149;11-20-2020
74;;144;11-20-2020
2;;126;11-20-2020
87;;101;11-20-2020
46;82;;11-20-2020
42;73;;11-21-2020
92;53;;11-21-2020
