ID_actividad,ID_usuario,ID_videojuego,cantidad,veredicto,titulo,texto
1,135,673,0.75,sin,sin,sin
2,28,673,0.25,sin,sin,sin
3,91,233,2,sin,sin,sin
4,9,126,10.5,sin,sin,sin
5,38,7344,4.25,sin,sin,sin
6,97,1164,0,sin,sin,sin
7,82,545,2.25,sin,sin,sin
8,130,11133,52,sin,sin,sin
9,107,1262,0.75,sin,sin,sin
10,113,11156,24,sin,sin,sin
11,92,327,90,sin,sin,sin
12,64,1070,5.5,sin,sin,sin
13,150,12517,90,sin,sin,sin
14,146,733,1.75,sin,sin,sin
15,84,1970,1.25,sin,sin,sin
16,115,673,4.75,sin,sin,sin
17,142,116,1.25,sin,sin,sin
18,23,1020,1.25,sin,sin,sin
19,104,1942,0.25,sin,sin,sin
20,101,1011,4.25,sin,sin,sin
21,135,1121,2.5,sin,sin,sin
22,147,431,52,sin,sin,sin
23,125,7342,0.25,sin,sin,sin
24,133,1970,4.25,sin,sin,sin
25,89,960,16,sin,sin,sin
26,47,2993,4,sin,sin,sin
27,116,15,52,sin,sin,sin
28,121,622,2.5,sin,sin,sin
29,113,529,2,sin,sin,sin
30,94,9630,24,sin,sin,sin
31,88,673,16,sin,sin,sin
32,88,15,4,sin,sin,sin
33,9,622,52,sin,sin,sin
34,88,6801,10,sin,sin,sin
35,117,732,60,sin,sin,sin
36,41,116,3.25,sin,sin,sin
37,92,1009,4.75,sin,sin,sin
38,117,1262,24,sin,sin,sin
39,98,549,45.5,sin,sin,sin
40,32,109,100,sin,sin,sin
41,146,1020,2.25,sin,sin,sin
42,125,1352,2.5,sin,sin,sin
43,22,121,90,sin,sin,sin
44,80,71,0.25,sin,sin,sin
45,99,75,0,sin,sin,sin
46,81,733,80.25,sin,sin,sin
47,149,1262,90,sin,sin,sin
48,23,358,2.25,sin,sin,sin
49,115,1262,1.25,sin,sin,sin
50,9,427,4.25,sin,sin,sin
51,79,231,48,sin,sin,sin
52,47,14593,1,sin,sin,sin
53,137,73,1.75,sin,sin,sin
54,108,1871,2,sin,sin,sin
55,46,537,5,sin,sin,sin
56,38,622,100,sin,sin,sin
57,100,9630,11,sin,sin,sin
58,134,3025,90,sin,sin,sin
59,69,,,sin,sin,sin
60,94,529,90,sin,sin,sin
61,80,73,0.5,sin,sin,sin
62,9,327,4,sin,sin,sin
63,126,7323,2,sin,sin,sin
64,138,1871,10,sin,sin,sin
65,142,1121,0,sin,sin,sin
66,30,545,90,sin,sin,sin
67,100,1942,0.75,sin,sin,sin
68,111,11208,34.5,sin,sin,sin
69,140,,,sin,sin,sin
70,47,73,10,sin,sin,sin
71,83,1942,4.25,sin,sin,sin
72,32,7342,2.75,sin,sin,sin
73,144,116,3.5,sin,sin,sin
74,134,1262,3.25,sin,sin,sin
75,122,7342,1.25,sin,sin,sin
76,98,1164,90,sin,sin,sin
77,111,730,52,sin,sin,sin
78,135,6036,32.5,sin,sin,sin
79,28,37,2.5,sin,sin,sin
80,142,343,3,sin,sin,sin
81,126,358,2.75,sin,sin,sin
82,78,9630,9.5,sin,sin,sin
83,44,529,3.5,sin,sin,sin
84,135,11198,0,sin,sin,sin
85,120,1942,75,sin,sin,sin
86,146,74,,positivo,Mejor juego o mejor juego,Ideal para la pandemia
87,107,1384,,positivo,No decepciona incluso sorprende,Consistente repleto de contenido soprendentemente bueno
88,150,622,10,sin,sin,sin
89,82,1970,10,sin,sin,sin
90,125,7323,4.75,sin,sin,sin
91,86,247,1.75,sin,sin,sin
92,80,538,80.25,sin,sin,sin
93,79,472,4.75,sin,sin,sin
94,126,533,2,sin,sin,sin
95,134,960,80.25,sin,sin,sin
96,97,979,52,sin,sin,sin
97,80,1887,4,sin,sin,sin
98,143,21,2.25,sin,sin,sin
99,93,11156,1.5,sin,sin,sin
100,77,493,26,sin,sin,sin
101,134,1970,0.25,sin,sin,sin
102,54,731,,positivo,Vine buscando cobre y encontré oro,No puedo creer que no haya jugado esto antes
103,83,39,3,sin,sin,sin
104,117,733,4,sin,sin,sin
105,77,1011,0.75,sin,sin,sin
106,111,7323,16,sin,sin,sin
107,120,11133,3.5,sin,sin,sin
108,98,1802,1,sin,sin,sin
109,146,6801,32,sin,sin,sin
110,129,40,0.25,sin,sin,sin
111,137,1352,3,sin,sin,sin
