ID_subscripcion,Estado,Fecha_inicio,ID_usuario,Fecha_termino,ID_videojuego,Mensualidad
106,canceled,2021-08-26,93,2021-09-09,26758,7000
244,active,2021-04-30,19,2999-12-31,9730,6500
97,active,2020-08-20,54,2999-12-31,549,4000
2,active,2021-03-21,102,2999-12-31,74,4000
339,active,2021-10-23,129,2999-12-31,20,8000
182,active,2020-11-06,47,2999-12-31,7334,4500
30,active,2021-02-24,97,2999-12-31,126,6500
177,active,2021-10-05,141,2999-12-31,11208,3000
146,active,2020-08-25,120,2999-12-31,6036,3500
224,active,2020-12-04,88,2999-12-31,126,6500
351,active,2020-07-20,130,2999-12-31,239,5000
353,active,2020-10-08,130,2999-12-31,26758,7000
360,active,2021-11-03,132,2999-12-31,2031,5000
215,active,2020-05-17,123,2999-12-31,2031,5000
282,active,2020-05-13,139,2999-12-31,498,5000
370,active,2021-11-14,102,2999-12-31,1068,6500
324,canceled,2020-08-13,138,2021-04-28,9730,6500
82,active,2020-05-24,96,2999-12-31,17000,5500
112,canceled,2021-12-02,79,2021-12-19,26758,7000
228,active,2021-11-14,149,2999-12-31,126,6500
310,active,2021-01-19,46,2999-12-31,498,5000
255,active,2021-05-08,36,2999-12-31,493,8000
263,active,2021-05-31,134,2999-12-31,5503,5000
19,canceled,2020-09-11,122,2021-08-20,11208,3000
12,active,2020-10-05,104,2999-12-31,126,6500
61,canceled,2020-05-25,125,2021-01-16,1070,5500
27,active,2021-12-04,97,2999-12-31,17000,5500
99,active,2021-11-06,112,2999-12-31,1068,6500
189,canceled,2021-09-27,111,2021-10-25,6036,3500
256,active,2021-03-01,36,2999-12-31,1384,6500
92,active,2021-12-09,54,2999-12-31,731,9500
81,canceled,2021-05-11,96,2021-07-08,230,7500
187,active,2021-05-06,114,2999-12-31,239,5000
167,active,2020-12-19,64,2999-12-31,11208,3000
93,canceled,2020-10-10,54,2020-11-03,1070,5500
193,canceled,2021-07-06,121,2021-07-27,493,8000
366,active,2020-06-21,76,2999-12-31,26758,7000
298,canceled,2020-10-02,30,2021-06-13,5503,5000
166,canceled,2020-12-25,64,2021-06-28,230,7500
316,active,2021-04-22,44,2999-12-31,18,5000
172,active,2021-05-11,150,2999-12-31,498,5000
174,active,2020-05-14,150,2999-12-31,1068,6500
107,active,2021-08-13,143,2999-12-31,26758,7000
11,active,2020-05-15,104,2999-12-31,20,8000
161,active,2020-11-08,133,2999-12-31,493,8000
216,active,2020-06-11,123,2999-12-31,493,8000
74,canceled,2020-07-17,89,2020-10-13,126,6500
350,active,2020-10-07,130,2999-12-31,9730,6500
94,canceled,2021-11-03,54,2021-11-28,17000,5500
144,active,2021-12-11,120,2999-12-31,2031,5000
262,active,2020-10-04,134,2999-12-31,2031,5000
101,canceled,2021-09-16,112,2021-09-21,76,9500
309,active,2020-07-19,46,2999-12-31,7334,4500
208,active,2021-02-12,85,2999-12-31,731,9500
14,active,2021-09-14,115,2999-12-31,1384,6500
88,active,2020-06-03,40,2999-12-31,20,8000
280,active,2021-03-10,139,2999-12-31,74,4000
149,active,2021-08-12,106,2999-12-31,375,9500
181,canceled,2021-12-19,47,2021-12-19,74,4000
138,active,2020-06-20,74,2999-12-31,731,9500
184,active,2020-05-08,128,2999-12-31,11208,3000
155,active,2021-09-30,27,2999-12-31,493,8000
254,active,2020-10-14,36,2999-12-31,20,8000
320,active,2021-06-29,98,2999-12-31,230,7500
368,canceled,2021-03-16,100,2021-10-03,549,4000
251,active,2021-10-19,38,2999-12-31,239,5000
42,canceled,2021-07-04,107,2021-11-19,1068,6500
59,canceled,2021-04-03,99,2021-04-27,126,6500
277,active,2020-05-15,12,2999-12-31,26758,7000
226,active,2021-05-14,88,2999-12-31,6036,3500
176,active,2021-08-25,141,2999-12-31,74,4000
75,active,2021-11-03,89,2999-12-31,20,8000
21,canceled,2020-06-11,9,2020-12-22,6036,3500
132,canceled,2021-04-11,81,2021-09-10,239,5000
283,canceled,2020-09-23,80,2021-02-11,9630,5000
22,active,2020-09-11,9,2999-12-31,26758,7000
305,active,2021-05-24,69,2999-12-31,20,8000
205,active,2021-11-09,28,2999-12-31,230,7500
154,active,2020-10-23,142,2999-12-31,549,4000
170,active,2021-11-16,150,2999-12-31,5503,5000
15,active,2021-04-26,115,2999-12-31,11208,3000
25,canceled,2020-09-29,109,2021-06-04,76,9500
342,active,2021-09-05,129,2999-12-31,230,7500
348,active,2021-07-19,129,2999-12-31,11208,3000
28,active,2020-12-20,97,2999-12-31,230,7500
133,active,2020-11-22,81,2999-12-31,17000,5500
116,active,2021-11-15,105,2999-12-31,498,5000
212,active,2021-11-24,90,2999-12-31,375,9500
56,canceled,2021-05-21,99,2021-07-24,2031,5000
26,active,2021-02-02,97,2999-12-31,26758,7000
162,active,2021-11-29,124,2999-12-31,7334,4500
331,active,2021-03-13,140,2999-12-31,26758,7000
296,canceled,2021-12-06,119,2021-12-10,20,8000
20,active,2020-07-21,122,2999-12-31,1070,5500
206,active,2020-09-19,85,2999-12-31,375,9500
113,active,2021-10-23,79,2999-12-31,239,5000
349,canceled,2020-07-01,130,2021-07-01,126,6500
257,active,2021-06-23,36,2999-12-31,18,5000
123,canceled,2021-06-20,148,2021-08-19,375,9500
72,active,2021-07-02,77,2999-12-31,9630,5000
66,active,2021-08-15,125,2999-12-31,126,6500
121,canceled,2020-07-14,148,2021-03-20,239,5000
302,active,2020-09-13,45,2999-12-31,126,6500
62,active,2021-12-06,125,2999-12-31,7334,4500
128,active,2021-11-28,110,2999-12-31,9730,6500
304,active,2021-08-08,45,2999-12-31,1068,6500
160,active,2021-09-28,133,2999-12-31,230,7500
168,active,2020-08-05,64,2999-12-31,1070,5500
364,active,2021-09-27,94,2999-12-31,74,4000
137,active,2021-02-04,74,2999-12-31,9730,6500
219,canceled,2020-10-28,118,2021-11-19,11208,3000
371,active,2021-12-12,100,2999-12-31,9630,5000
17,active,2021-04-16,122,2999-12-31,549,4000
333,active,2020-11-06,129,2999-12-31,375,9500
260,active,2021-12-15,36,2999-12-31,9630,5000
276,active,2020-06-10,86,2999-12-31,1384,6500
242,active,2021-08-01,19,2999-12-31,1384,6500
292,active,2020-05-18,10,2999-12-31,126,6500
179,active,2020-06-08,47,2999-12-31,11208,3000
50,canceled,2020-06-23,146,2021-07-30,1070,5500
258,active,2021-03-07,36,2999-12-31,1070,5500
175,canceled,2021-03-01,141,2021-11-30,239,5000
359,active,2021-03-01,132,2999-12-31,239,5000
270,active,2021-09-18,131,2999-12-31,2031,5000
231,active,2021-01-22,92,2999-12-31,375,9500
278,canceled,2020-05-17,12,2021-06-15,74,4000
234,canceled,2021-03-11,35,2021-08-11,76,9500
295,canceled,2021-11-01,119,2021-12-09,549,4000
317,active,2021-11-07,44,2999-12-31,1384,6500
135,active,2020-05-16,11,2999-12-31,11208,3000
118,active,2021-09-12,105,2999-12-31,731,9500
338,active,2020-11-16,129,2999-12-31,5503,5000
233,active,2020-08-09,35,2999-12-31,1074,8500
209,canceled,2021-03-21,85,2021-05-03,230,7500
334,canceled,2020-10-10,129,2021-10-05,1074,8500
143,active,2021-08-10,120,2999-12-31,493,8000
218,active,2020-09-19,123,2999-12-31,1068,6500
141,active,2021-10-09,126,2999-12-31,2031,5000
272,active,2021-02-11,131,2999-12-31,731,9500
4,active,2021-08-24,102,2999-12-31,26758,7000
323,active,2021-11-23,138,2999-12-31,1074,8500
35,active,2021-10-31,116,2999-12-31,20,8000
96,canceled,2021-12-03,54,2021-12-20,74,4000
299,canceled,2021-01-27,30,2021-11-22,17000,5500
54,active,2020-05-25,99,2999-12-31,18,5000
210,canceled,2021-01-15,90,2021-05-17,2031,5000
147,active,2021-02-06,120,2999-12-31,731,9500
57,active,2021-09-11,99,2999-12-31,76,9500
52,canceled,2020-06-10,127,2020-07-08,498,5000
131,active,2021-04-27,110,2999-12-31,549,4000
198,active,2021-01-05,83,2999-12-31,9730,6500
356,active,2020-06-16,135,2999-12-31,6036,3500
326,canceled,2020-12-16,78,2021-03-27,2031,5000
285,active,2020-12-11,80,2999-12-31,375,9500
222,canceled,2021-07-11,118,2021-11-13,18,5000
243,canceled,2021-04-29,19,2021-05-04,498,5000
77,active,2021-10-21,89,2999-12-31,9630,5000
275,active,2021-05-18,86,2999-12-31,1074,8500
300,canceled,2020-06-07,30,2021-03-30,549,4000
120,active,2020-07-09,148,2999-12-31,1070,5500
180,active,2020-09-27,47,2999-12-31,230,7500
327,canceled,2021-08-29,78,2021-11-17,126,6500
221,active,2021-01-10,118,2999-12-31,498,5000
297,active,2021-08-04,119,2999-12-31,6036,3500
274,active,2021-01-19,86,2999-12-31,18,5000
117,canceled,2021-10-06,105,2021-12-11,1074,8500
169,active,2020-06-08,64,2999-12-31,1068,6500
237,active,2020-11-09,136,2999-12-31,11208,3000
266,canceled,2020-11-26,134,2021-03-20,549,4000
53,active,2021-02-21,99,2999-12-31,17000,5500
271,active,2021-12-07,131,2999-12-31,74,4000
355,canceled,2020-07-30,135,2020-12-20,7334,4500
68,canceled,2020-09-30,125,2021-08-28,5503,5000
37,active,2021-10-03,116,2999-12-31,76,9500
223,active,2020-06-15,118,2999-12-31,239,5000
307,canceled,2020-08-01,144,2021-01-15,7334,4500
87,active,2020-09-23,40,2999-12-31,1070,5500
343,active,2021-06-26,129,2999-12-31,9730,6500
70,active,2021-10-03,77,2999-12-31,493,8000
311,canceled,2020-07-26,46,2021-04-27,6036,3500
16,canceled,2021-04-19,115,2021-06-27,126,6500
264,canceled,2020-05-28,134,2021-02-28,11208,3000
83,active,2020-09-01,96,2999-12-31,239,5000
361,canceled,2020-10-24,94,2020-11-20,18,5000
291,canceled,2020-09-19,10,2021-03-23,74,4000
321,canceled,2021-10-03,98,2021-12-01,549,4000
173,active,2020-07-04,150,2999-12-31,76,9500
363,canceled,2021-01-28,94,2021-04-09,239,5000
346,active,2020-08-14,129,2999-12-31,239,5000
159,canceled,2020-07-09,133,2020-10-16,2031,5000
139,active,2020-07-05,117,2999-12-31,126,6500
140,active,2020-05-26,126,2999-12-31,5503,5000
301,canceled,2020-11-23,147,2021-08-07,74,4000
73,active,2021-01-10,89,2999-12-31,1070,5500
13,active,2021-03-24,104,2999-12-31,498,5000
247,active,2020-07-08,91,2999-12-31,18,5000
9,active,2020-10-31,145,2999-12-31,239,5000
78,active,2020-09-18,89,2999-12-31,498,5000
329,active,2021-04-20,78,2999-12-31,498,5000
369,canceled,2021-05-12,100,2021-08-14,9630,5000
336,active,2021-03-10,129,2999-12-31,7334,4500
358,active,2020-11-26,95,2999-12-31,2031,5000
122,active,2021-04-11,148,2999-12-31,2031,5000
211,canceled,2021-05-08,90,2021-06-19,7334,4500
330,active,2021-01-01,78,2999-12-31,20,8000
51,active,2020-05-03,127,2999-12-31,26758,7000
241,canceled,2020-10-15,136,2021-10-22,493,8000
252,active,2020-05-22,38,2999-12-31,1070,5500
39,active,2020-06-10,107,2999-12-31,74,4000
58,canceled,2020-11-30,99,2021-10-30,1384,6500
126,canceled,2021-08-14,110,2021-10-17,230,7500
100,active,2020-11-07,112,2999-12-31,11208,3000
345,active,2021-07-04,129,2999-12-31,498,5000
259,active,2020-06-06,36,2999-12-31,375,9500
148,active,2021-09-24,106,2999-12-31,74,4000
33,active,2021-07-23,116,2999-12-31,9730,6500
40,active,2020-10-05,107,2999-12-31,18,5000
55,active,2021-12-19,99,2999-12-31,5503,5000
354,active,2020-12-18,135,2999-12-31,230,7500
178,canceled,2021-05-01,103,2021-06-15,7334,4500
23,active,2021-05-14,9,2999-12-31,126,6500
24,active,2021-02-16,109,2999-12-31,1384,6500
127,canceled,2020-05-11,110,2020-11-23,9630,5000
214,active,2020-12-26,123,2999-12-31,498,5000
367,active,2020-08-24,100,2999-12-31,74,4000
253,active,2021-11-28,38,2999-12-31,1384,6500
157,canceled,2020-07-13,133,2020-12-10,1070,5500
69,active,2020-10-15,77,2999-12-31,126,6500
313,canceled,2021-04-01,44,2021-05-26,1074,8500
199,active,2020-12-20,83,2999-12-31,126,6500
67,canceled,2020-11-24,125,2021-11-14,74,4000
119,active,2021-04-16,41,2999-12-31,1074,8500
340,canceled,2020-06-10,129,2021-05-15,1068,6500
290,canceled,2021-07-07,80,2021-08-17,1384,6500
111,active,2020-08-13,143,2999-12-31,18,5000
109,active,2021-03-14,143,2999-12-31,74,4000
29,active,2020-05-04,97,2999-12-31,375,9500
1,canceled,2021-06-14,102,2021-07-25,1068,6500
225,active,2020-05-20,88,2999-12-31,5503,5000
229,active,2020-11-04,32,2999-12-31,126,6500
289,active,2020-07-28,80,2999-12-31,11208,3000
